Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,시점,특,상,중,하,총거래물량,전순 가격차이,impact,평균기온(℃),최저기온(℃),최고기온(℃),물가지수,전기대비증감,총 물가지수,총 전기대비증감,평균가격
0.0,0.0,0.0,20200101.0,931.0,490.0,380.0,497.0,4720832.4,870.0544935677021,-0.4294871794871794,2.31,-2.03,7.609999999999999,90.35,15.6,100.09,0.37,870.0544935677021
1.0,1.0,1.0,20200111.0,921.0,563.0,259.0,496.0,4742260.3,-19.07468906392989,-0.3289473684210526,0.6599999999999999,-3.33,5.720000000000001,90.35,15.6,100.09,0.37,850.9798045037722
2.0,2.0,2.0,20200121.0,888.0,656.0,305.0,403.0,2775681.1,-0.6478434582472801,0.0,4.363636363636363,0.6272727272727273,8.818181818181818,90.35,15.6,100.09,0.37,850.331961045525
3.0,3.0,3.0,20200201.0,963.0,745.0,362.0,641.0,4212112.8,73.33531847272536,-0.9436893203883496,0.26,-4.88,5.86,98.99,8.64,100.16,0.07,923.6672795182504
4.0,4.0,4.0,20200211.0,946.0,652.0,380.0,698.0,5640665.8,-24.95123113970601,-0.3924731182795699,4.21,-0.85,10.1,98.99,8.64,100.16,0.07,898.7160483785443
5.0,5.0,5.0,20200221.0,1180.0,759.0,530.0,968.0,4959518.5,219.5822499340842,0.0,5.9,1.2222222222222223,10.9,98.99,8.64,100.16,0.07,1118.2982983126285
6.0,6.0,6.0,20200301.0,1064.0,707.0,601.0,673.0,6006645.9,-119.2883162192943,0.0,5.61,0.3099999999999999,11.31,113.8,14.81,99.94,-0.22,999.0099820933342
7.0,7.0,7.0,20200311.0,1193.0,792.0,630.0,844.0,5000478.2,126.2088439781403,-1.1927710843373494,6.76,0.5599999999999999,13.09,113.8,14.81,99.94,-0.22,1125.2188260714745
8.0,8.0,8.0,20200321.0,1402.0,799.0,767.0,1136.0,5647860.1,162.70976036783918,0.0,10.509090909090908,3.709090909090909,17.236363636363635,113.8,14.81,99.94,-0.22,1287.9285864393137
9.0,9.0,9.0,20200401.0,1280.0,834.0,698.0,1064.0,6483253.6,-105.61179768991155,-1.4090909090909092,9.43,2.67,16.4,121.86,8.06,99.5,-0.44,1182.316788749402
10.0,10.0,10.0,20200411.0,1367.0,1113.0,778.0,1320.0,5117798.4,123.67628807832124,0.0,10.83,5.4,16.82,121.86,8.06,99.5,-0.44,1305.9930768277234
11.0,11.0,11.0,20200421.0,1660.0,1382.0,1111.0,1456.0,6006977.220000001,289.52555325624394,0.0,11.61,4.83,18.04,121.86,8.06,99.5,-0.44,1595.5186300839673
12.0,12.0,12.0,20200501.0,1784.0,1428.0,989.0,1404.0,5190089.399999999,98.56114260742424,0.0,17.71,12.9,23.07,122.09,0.23,99.44,-0.06,1694.0797726913916
13.0,13.0,13.0,20200511.0,1548.0,1311.0,781.0,1095.0,6655562.3,-236.1342099250419,0.0,16.68,11.98,22.06,122.09,0.23,99.44,-0.06,1457.9455627663497
14.0,14.0,14.0,20200521.0,1221.0,1034.0,588.0,861.0,9960852.7,-314.5643664958736,0.0,18.245454545454542,12.872727272727271,24.145454545454548,122.09,0.23,99.44,-0.06,1143.381196270476
15.0,15.0,15.0,20200601.0,1162.0,851.0,507.0,796.0,10589951.5,-85.31467368064182,1.8756345177664973,22.69,17.119999999999997,28.97,100.9,-21.19,99.71,0.27,1058.0665225898342
16.0,16.0,16.0,20200611.0,1037.0,754.0,405.0,641.0,10292486.6,-123.87270833701814,1.4869466515323495,22.7,18.66,27.610000000000003,100.9,-21.19,99.71,0.27,934.193814252816
17.0,17.0,17.0,20200621.0,791.0,579.0,315.0,447.0,11052425.9,-235.305939329357,1.7677902621722847,22.67,18.79,27.35,100.9,-21.19,99.71,0.27,698.8878749234591
18.0,18.0,18.0,20200701.0,815.0,656.0,389.0,481.0,8115144.7,47.00751065111979,1.3859447004608294,22.49,18.89,27.02,83.51,-17.39,99.63,-0.08,745.8953855745789
19.0,19.0,19.0,20200711.0,800.0,602.0,356.0,514.0,4501123.5,-18.957439748386832,1.2935323383084578,21.9,18.94,25.51,83.51,-17.39,99.63,-0.08,726.937945826192
20.0,20.0,20.0,20200721.0,876.0,634.0,420.0,463.0,4780833.6,86.27471085359707,1.3540372670807452,23.10909090909091,20.945454545454545,26.20909090909091,83.51,-17.39,99.63,-0.08,813.2126566797891
21.0,21.0,21.0,20200801.0,1065.0,836.0,499.0,572.0,3133401.5,175.59464299119145,1.553875236294896,25.53,23.29,28.53,84.16,0.65,100.19,0.56,988.8072996709806
22.0,22.0,22.0,20200811.0,1187.0,900.0,523.0,789.0,4681143.2,117.65527511203402,2.415496911847277,27.28,23.81,31.82,84.16,0.65,100.19,0.56,1106.4625747830146
