시점,특,상,중,하,총거래물량,전순 가격차이,impact,평균기온(℃),최저기온(℃),최고기온(℃),물가지수,전기대비증감,총 물가지수,총 전기대비증감,평균가격
20200101,7118,3509,10567,0,12893,7094.798724869695,-0.4294871794871794,2.31,-2.03,7.609999999999999,104.76,17.47,100.09,0.37,7095
20200111,9166,4650,10500,0,10811,2033.4683820729751,-0.3289473684210526,0.6599999999999999,-3.33,5.720000000000001,104.76,17.47,100.09,0.37,9128
20200121,16579,5775,10500,0,3162,7031.386931385077,0.0,4.363636363636363,0.6272727272727273,8.818181818181818,104.76,17.47,100.09,0.37,16160
20200201,8690,11414,9994,0,4808,-7444.15228087678,-0.9436893203883496,0.26,-4.88,5.86,125.98,21.22,100.16,0.07,8716
20200211,11366,7303,10333,0,3990,2253.922775107056,-0.3924731182795699,4.21,-0.85,10.1,125.98,21.22,100.16,0.07,10969
20200221,25614,8585,9667,0,2500,13779.029743784082,0.0,5.9,1.2222222222222223,10.9,125.98,21.22,100.16,0.07,24748
20200301,8141,13026,9333,0,7877,-16477.7922222606,0.0,5.61,0.3099999999999999,11.31,122.69,-3.29,99.94,-0.22,8271
20200311,20018,12072,6812,0,2501,11164.319755377575,-1.1927710843373494,6.76,0.5599999999999999,13.09,122.69,-3.29,99.94,-0.22,19435
20200321,12078,9135,8300,0,3919,-7547.279099860672,0.0,10.509090909090908,3.709090909090909,17.236363636363635,122.69,-3.29,99.94,-0.22,11888
20200401,10952,8582,8300,0,2068,-1094.147068064336,-1.4090909090909092,9.43,2.67,16.4,92.94,-29.75,99.5,-0.44,10794
20200411,19359,10178,8600,0,1818,8162.320692496076,0.0,10.83,5.4,16.82,92.94,-29.75,99.5,-0.44,18956
20200421,10667,11132,6941,0,5870,-8299.890166608257,0.0,11.61,4.83,18.04,92.94,-29.75,99.5,-0.44,10656
20200501,10173,8932,8300,0,3650,-497.8673311299772,0.0,17.71,12.9,23.07,82.01,-10.93,99.44,-0.06,10158
20200511,8292,10690,8300,0,8086,-1835.6675600750568,0.0,16.68,11.98,22.06,82.01,-10.93,99.44,-0.06,8322
20200521,13947,9766,8300,0,3096,5532.425827235873,0.0,18.245454545454542,12.872727272727271,24.145454545454548,82.01,-10.93,99.44,-0.06,13855
20200601,7179,10000,8300,0,8681,-6671.207625985216,1.8756345177664973,22.69,17.119999999999997,28.97,78.77,-3.24,99.71,0.27,7184
20200611,8784,14150,8300,0,4491,1638.5648683060672,1.4869466515323495,22.7,18.66,27.610000000000003,78.77,-3.24,99.71,0.27,8822
20200621,12270,28992,8300,0,3748,3464.415776971642,1.7677902621722847,22.67,18.79,27.35,78.77,-3.24,99.71,0.27,12287
20200701,10539,6273,8300,0,5535,-1834.1240180373445,1.3859447004608294,22.49,18.89,27.02,88.12,9.35,99.63,-0.08,10453
20200711,13321,18347,8300,0,2099,2888.121730284738,1.2935323383084578,21.9,18.94,25.51,88.12,9.35,99.63,-0.08,13341
20200721,13218,14924,8000,0,5206,-119.74022838485872,1.3540372670807452,23.10909090909091,20.945454545454545,26.20909090909091,88.12,9.35,99.63,-0.08,13221
20200801,16138,18110,8000,0,2804,2929.9206437935245,1.553875236294896,25.53,23.29,28.53,93.5,5.38,100.19,0.56,16151
20200811,25591,27006,20363,15000,44998,9512.111306375084,2.415496911847277,27.28,23.81,31.82,93.5,5.38,100.19,0.56,25663
20200821,22407,26220,20812,0,47878,-2969.778884151514,2.1852986217457886,26.527272727272727,23.30909090909091,31.036363636363635,93.5,5.38,100.19,0.56,22693
20200901,24633,24417,19369,0,41364,1908.3860458746967,1.8491620111731844,22.33,19.2,26.130000000000003,118.55,25.05,100.74,0.55,24602
20200911,21810,23778,7939,2500,34353,-2651.1416907292114,0.0,20.02,16.5,24.68,118.55,25.05,100.74,0.55,21950
20200921,18915,22355,19109,0,23688,-2818.774308029715,0.0,17.96,13.18,23.85,118.55,25.05,100.74,0.55,19132
20201001,15494,23026,20594,0,8583,-3089.1235832917228,0.0,16.66,11.83,22.11,124.88,6.33,100.18,-0.56,16043
20201011,22239,22481,12032,0,8250,5906.65218722845,0.0,13.11,7.68,20.01,124.88,6.33,100.18,-0.56,21949
20201021,21591,23372,19524,0,10918,-274.9638371591791,0.0,11.427272727272728,5.727272727272728,18.11818181818182,124.88,6.33,100.18,-0.56,21674
20201101,18209,22705,16691,0,61198,-3429.8982872632987,0.0,9.23,3.93,14.76,90.77,-34.11,100.09,-0.09,18244
20201111,17993,17765,17818,11333,78763,-259.8516685658542,0.0,11.37,5.5600000000000005,18.15,90.77,-34.11,100.09,-0.09,17984
20201121,18711,15934,17871,20000,27690,662.125964950279,0.0,4.7700000000000005,0.6399999999999999,9.55,90.77,-34.11,100.09,-0.09,18647
20201201,17518,17458,12201,14667,59404,-1139.169342256202,0.0,2.24,-2.62,8.18,77.02,-13.75,100.33,0.24,17507
20201211,15546,21419,8000,0,5478,-1545.5009030408492,-0.1391147244805781,-1.61,-6.090000000000001,3.39,77.02,-13.75,100.33,0.24,15962
20201221,15815,17518,8200,0,144216,-146.17570274312675,-0.0599369085173501,0.3727272727272727,-4.427272727272728,6.263636363636365,77.02,-13.75,100.33,0.24,15816
20210101,15554,19444,8240,0,79642,-260.03331949363564,-0.55,-5.96,-11.17,-0.71,89.73,12.71,101.04,0.71,15556
20210111,15369,20792,15852,0,56988,-114.33041509221948,-0.2528263103802672,-0.91,-6.659999999999999,5.19,89.73,12.71,101.04,0.71,15441
20210121,17113,15077,9333,0,75832,1666.993010807813,-0.0839002267573696,3.2,-1.5,8.481818181818182,89.73,12.71,101.04,0.71,17108
20210201,13968,16905,0,8333,8446,-3092.5177117128205,-0.048,1.52,-3.65,7.0,137.1,47.37,101.58,0.54,14016
20210211,13342,17431,0,0,991,-514.7170313817187,-0.0896226415094339,2.72,-3.0,9.14,137.1,47.37,101.58,0.54,13501
20210221,17797,12500,0,0,1619,4138.461038759435,-0.0346820809248554,6.5875,0.75,12.7625,137.1,47.37,101.58,0.54,17640
20210301,9676,0,10632,0,4039,-7959.381327447947,-0.7380952380952381,5.96,0.94,11.97,122.25,-14.85,101.84,0.26,9680
20210311,18056,23203,8200,0,2229,8354.553202981493,-0.0173410404624277,9.39,3.74,15.27,122.25,-14.85,101.84,0.26,18035
20210321,15745,14113,8200,0,3838,-2452.754506262647,0.0,10.581818181818182,4.545454545454546,16.963636363636365,122.25,-14.85,101.84,0.26,15582
20210401,10625,9667,8300,0,2895,-4969.242702919222,-0.4222222222222222,12.14,6.29,18.16,99.34,-22.91,101.98,0.14,10613
20210411,11932,0,23549,0,2769,1549.8776365643134,-0.9507246376811594,11.68,5.32,18.1,99.34,-22.91,101.98,0.14,12163
20210421,16012,20000,8267,0,3225,3792.4470402193474,0.0,15.65,10.22,21.57,99.34,-22.91,101.98,0.14,15955
20210501,18301,24205,8300,0,3345,2996.616200856324,0.0,14.13,8.22,19.84,91.03,-8.31,102.05,0.07,18952
20210511,14020,18312,10000,0,2028,-4805.965329026507,0.0,18.130000000000003,13.6,23.21,91.03,-8.31,102.05,0.07,14146
20210521,16731,22033,8300,0,5052,2772.7612332902954,0.0,17.509090909090908,12.4,23.30909090909091,91.03,-8.31,102.05,0.07,16918
20210601,13780,23603,8300,0,2889,-2565.6234088629208,1.4177777777777778,21.2,15.97,26.77,95.28,4.25,102.05,0.0,14353
20210611,15669,23472,8789,0,1440,2124.630841121496,1.15625,21.81,18.26,26.23,95.28,4.25,102.05,0.0,16478
20210621,16773,14919,8867,0,3184,181.4726758793986,0.8767441860465116,22.16,18.32,27.21,95.28,4.25,102.05,0.0,16659
20210701,14141,0,20327,0,3081,-2506.724485533048,1.2705761316872428,23.8,20.87,27.68,96.5,1.22,102.26,0.21,14152
20210711,22752,23287,8300,0,4152,8610.632830848253,2.263335204941044,26.44,22.7,31.44,96.5,1.22,102.26,0.21,22763
20210721,19980,18191,8704,0,16707,-2919.994882965948,3.119959162838182,27.63636363636364,22.963636363636365,33.04545454545455,96.5,1.22,102.26,0.21,19843
