시점,특,상,중,하,총거래물량,전순 가격차이,평균기온(℃),최저기온(℃),최고기온(℃),impact,물가지수,전기대비증감,총 물가지수,총 전기대비증감,평균가격
20200101,1187,1183,1465,801,5598950,1189.138078257276,2.31,-2.03,7.609999999999999,-0.4294871794871794,85.85,-1.0,0.0,0.0,1189
20200111,936,1001,1270,463,6632332,-242.0544536299748,0.6599999999999999,-3.33,5.720000000000001,-0.3289473684210526,85.85,-1.0,0.0,0.0,947
20200121,828,889,1112,364,5635454,-110.12991288147316,4.363636363636363,0.6272727272727273,8.818181818181818,0.0,85.85,-1.0,0.0,0.0,837
20200201,917,900,1104,324,5039591,80.21897151961161,0.26,-4.88,5.86,-0.9436893203883496,71.54,-14.31,100.16,0.07,917
20200211,794,812,1048,372,6009506,-118.34309903425788,4.21,-0.85,10.1,-0.3924731182795699,71.54,-14.31,100.16,0.07,799
20200221,820,825,1032,482,5678842,23.71107940496688,5.9,1.2222222222222223,10.9,0.0,71.54,-14.31,100.16,0.07,823
20200301,736,780,1034,503,5368590,-79.44374793010525,5.61,0.3099999999999999,11.31,0.0,63.98,-7.56,99.94,-0.22,743
20200311,701,729,1101,387,5735995,-33.793134571363,6.76,0.5599999999999999,13.09,-1.1927710843373494,63.98,-7.56,99.94,-0.22,709
20200321,676,656,1219,216,5894322,-28.989102194507268,10.509090909090908,3.709090909090909,17.236363636363635,0.0,63.98,-7.56,99.94,-0.22,680
20200401,712,671,845,539,5592163,29.16441114424083,9.43,2.67,16.4,-1.4090909090909092,59.62,-4.36,99.5,-0.44,709
20200411,786,769,938,710,4783126,76.30456149927932,10.83,5.4,16.82,0.0,59.62,-4.36,99.5,-0.44,786
20200421,894,874,1028,500,5320672,106.93433829446587,11.61,4.83,18.04,0.0,59.62,-4.36,99.5,-0.44,893
20200501,1058,1036,1224,0,4311515,164.34456831483976,17.71,12.9,23.07,0.0,72.67,13.05,99.44,-0.06,1057
20200511,1190,1183,1126,720,5117364,131.7029929051182,16.68,11.98,22.06,0.0,72.67,13.05,99.44,-0.06,1189
20200521,1304,1330,1279,1100,5201699,118.02535331914396,18.245454545454542,12.872727272727271,24.145454545454548,0.0,72.67,13.05,99.44,-0.06,1307
20200601,1216,1218,1340,0,5139787,-89.47305383936441,22.69,17.119999999999997,28.97,1.8756345177664973,85.7,13.03,99.71,0.27,1217
20200611,1415,1314,1271,0,4371909,185.12663100262264,22.7,18.66,27.610000000000003,1.4869466515323495,85.7,13.03,99.71,0.27,1402
20200621,1326,1340,1343,375,4520113,-74.70809961858913,22.67,18.79,27.35,1.7677902621722847,85.7,13.03,99.71,0.27,1328
20200701,1090,1085,1120,394,5007253,-237.57382457093263,22.49,18.89,27.02,1.3859447004608294,88.6,2.9,99.63,-0.08,1090
20200711,1395,1297,1291,440,4309554,292.91382566927155,21.9,18.94,25.51,1.2935323383084578,88.6,2.9,99.63,-0.08,1383
20200721,1303,1232,1278,333,5337826,-88.29587803818731,23.10909090909091,20.945454545454545,26.20909090909091,1.3540372670807452,88.6,2.9,99.63,-0.08,1295
20200801,2149,1876,1534,369,3683380,814.791911074004,25.53,23.29,28.53,1.553875236294896,121.65,33.05,100.19,0.56,2110
20200811,1992,1915,1572,1059,5045639,-132.4451009458603,27.28,23.81,31.82,2.415496911847277,121.65,33.05,100.19,0.56,1977
20200821,1880,1747,1829,910,5039869,-112.0625423369795,26.527272727272727,23.30909090909091,31.036363636363635,2.1852986217457886,121.65,33.05,100.19,0.56,1865
20200901,2210,2066,1634,632,4674559,317.352781168908,22.33,19.2,26.130000000000003,1.8491620111731844,137.56,15.91,100.74,0.55,2182
20200911,2160,2069,1729,1365,5293960,-37.19890680864364,20.02,16.5,24.68,0.0,137.56,15.91,100.74,0.55,2145
20200921,2316,2173,2270,1814,6365198,157.04236059569075,17.96,13.18,23.85,0.0,137.56,15.91,100.74,0.55,2302
20201001,2539,2346,2167,1519,3758321,213.57810735694147,16.66,11.83,22.11,0.0,145.65,8.09,100.18,-0.56,2516
20201011,2148,2028,1868,707,4701766,-381.88835249885005,13.11,7.68,20.01,0.0,145.65,8.09,100.18,-0.56,2134
20201021,2332,2181,2156,1382,5832552,181.7675606973285,11.427272727272728,5.727272727272728,18.11818181818182,0.0,145.65,8.09,100.18,-0.56,2316
20201101,2391,2322,2002,1286,5045849,64.25871257061635,9.23,3.93,14.76,0.0,146.86,1.21,100.09,-0.09,2380
20201111,2398,2281,1862,1435,5557045,-1.4070260633939142,11.37,5.5600000000000005,18.15,0.0,146.86,1.21,100.09,-0.09,2379
20201121,1949,2027,1948,1070,5635822,-421.7003421293496,4.7700000000000005,0.6399999999999999,9.55,0.0,146.86,1.21,100.09,-0.09,1957
20201201,1601,1711,1934,752,5513591,-340.99697909290035,2.24,-2.62,8.18,0.0,120.32,-26.54,100.33,0.24,1616
20201211,1693,1800,1813,830,4553981,87.63498156969968,-1.61,-6.090000000000001,3.39,-0.1391147244805781,120.32,-26.54,100.33,0.24,1704
20201221,1692,1820,1861,1218,6830254,3.584280424391409,0.3727272727272727,-4.427272727272728,6.263636363636365,-0.0599369085173501,120.32,-26.54,100.33,0.24,1707
20210101,2492,2431,1944,1864,3888722,766.8726664129479,-5.96,-11.17,-0.71,-0.55,150.2,29.88,101.04,0.71,2474
20210111,2968,2832,2493,2872,5283512,477.0581669934895,-0.91,-6.659999999999999,5.19,-0.2528263103802672,150.2,29.88,101.04,0.71,2951
20210121,3212,3354,2847,1029,5342707,267.3221625381316,3.2,-1.5,8.481818181818182,-0.0839002267573696,150.2,29.88,101.04,0.71,3218
20210201,4085,4016,3102,3073,6311908,850.3500098255963,1.52,-3.65,7.0,-0.048,230.57,80.37,101.58,0.54,4069
20210211,4415,4237,3428,1137,3154652,327.4918853354648,2.72,-3.0,9.14,-0.0896226415094339,230.57,80.37,101.58,0.54,4396
20210221,5227,4999,3922,4269,3130415,802.2945494646556,6.5875,0.75,12.7625,-0.0346820809248554,230.57,80.37,101.58,0.54,5198
20210301,4861,4845,3777,4429,4863700,-351.13686256475467,5.96,0.94,11.97,-0.7380952380952381,256.56,25.99,101.84,0.26,4847
20210311,3958,4138,2760,3606,4601832,-895.0831907540883,9.39,3.74,15.27,-0.0173410404624277,256.56,25.99,101.84,0.26,3952
20210321,4015,3999,3047,3200,4369602,52.63861227808911,10.581818181818182,4.545454545454546,16.963636363636365,0.0,256.56,25.99,101.84,0.26,4005
20210401,3933,3659,2427,820,4246004,-125.78700176534812,12.14,6.29,18.16,-0.4222222222222222,217.08,-39.48,101.98,0.14,3879
20210411,3910,4084,2758,0,3761445,18.207661328853646,11.68,5.32,18.1,-0.9507246376811594,217.08,-39.48,101.98,0.14,3897
20210421,3085,3193,2759,2899,4075778,-808.3653990138623,15.65,10.22,21.57,0.0,217.08,-39.48,101.98,0.14,3089
20210501,2979,2946,2624,0,3791735,-117.84965185278406,14.13,8.22,19.84,0.0,167.08,-50.0,102.05,0.07,2971
20210511,1922,2204,2310,0,4657140,-1028.3408187933337,18.130000000000003,13.6,23.21,0.0,167.08,-50.0,102.05,0.07,1943
20210521,1313,1545,1633,1399,5074076,-610.7830442969305,17.509090909090908,12.4,23.30909090909091,0.0,167.08,-50.0,102.05,0.07,1332
20210601,1032,1203,1492,1300,4738952,-285.782069345582,21.2,15.97,26.77,1.4177777777777778,95.93,-71.15,102.05,0.0,1046
20210611,888,1065,1026,0,3480735,-146.8502875520211,21.81,18.26,26.23,1.15625,95.93,-71.15,102.05,0.0,899
20210621,749,847,934,387,4572649,-141.79710073670435,22.16,18.32,27.21,0.8767441860465116,95.93,-71.15,102.05,0.0,758
20210701,868,893,983,300,4245745,114.165272570179,23.8,20.87,27.68,1.2705761316872428,73.29,-22.64,102.26,0.21,872
20210711,698,781,855,491,3284353,-164.4878333915932,26.44,22.7,31.44,2.263335204941044,73.29,-22.64,102.26,0.21,707
20210721,706,817,952,321,4357102,14.547309895799115,27.63636363636364,22.963636363636365,33.04545454545455,3.119959162838182,73.29,-22.64,102.26,0.21,722
20210801,1260,1165,1172,550,3398881,529.9578082736975,26.79,23.21,31.82,2.747332959011791,82.19,8.9,102.75,0.49,1252
20210811,969,1048,1187,413,4332557,-272.71903812642165,24.21,20.630000000000003,28.85,1.7952095808383233,82.19,8.9,102.75,0.49,979
20210821,1180,1202,1355,875,4472354,205.0964563378683,23.50909090909091,20.818181818181817,27.13636363636364,1.4230769230769231,82.19,8.9,102.75,0.49,1184
20210901,1309,1291,1184,572,4764594,121.12129530340098,21.56,18.36,25.58,1.2361111111111112,93.71,11.52,103.17,0.42,1305
20210911,1578,1486,1435,646,4849807,263.1114556912803,21.77,17.580000000000002,26.68,0.0,93.71,11.52,103.17,0.42,1568
20210921,1165,1367,1448,890,3786439,-386.42117838327954,20.67,17.05,25.27,0.0,93.71,11.52,103.17,0.42,1182
20211001,1053,1054,1199,363,4256728,-126.43788233734836,21.12,17.0,26.48,0.0,93.31,-0.4,103.35,0.18,1055
20211011,1246,1418,1567,313,5097690,208.401695313461,13.56,9.33,18.71,-1.5083798882681565,93.31,-0.4,103.35,0.18,1264
20211021,1353,1251,1367,718,5074292,80.69583559330454,11.127272727272729,5.418181818181818,18.581818181818186,0.0,93.31,-0.4,103.35,0.18,1345
20211101,1355,1339,1502,575,5290478,10.886685195297332,10.83,6.0,16.93,0.0,102.18,8.87,103.87,0.52,1355
20211111,1505,1367,1818,500,5126166,142.9353390559254,8.36,3.21,14.81,0.0,102.18,8.87,103.87,0.52,1498
20211121,1170,1152,1343,1204,4755462,-329.1612948076745,5.75,0.75,11.75,-0.0036231884057971,102.18,8.87,103.87,0.52,1169
20211201,1086,1041,1370,220,616220,-82.4042710694464,4.02,-0.94,9.91,0.0,98.42,-3.76,104.04,0.17,1087
20211211,1035,1109,1186,283,4553459,-44.93341926246353,2.55,-2.6,7.979999999999999,0.0,98.42,-3.76,104.04,0.17,1042
20211221,1162,1217,1339,481,5996985,125.36207162285314,-0.7363636363636362,-5.409090909090909,4.718181818181818,-0.4269141531322505,98.42,-3.76,104.04,0.17,1167
20220101,1105,1189,1356,980,4845494,-51.66731434991971,-0.55,-6.3,5.779999999999999,-0.0438034188034188,94.08,-4.34,104.85,0.81,1116
20220111,1149,1168,1296,293,5659332,36.61471641908497,-2.9,-7.93,2.6,0.0,94.08,-4.34,104.85,0.81,1152
20220121,1287,1335,1422,828,6492950,140.03148328315342,0.8545454545454544,-4.027272727272727,6.4363636363636365,0.0,94.08,-4.34,104.85,0.81,1292
20220201,1108,1294,1387,577,4037853,-168.28468409481275,-1.08,-5.89,4.13,0.0,92.68,-1.4,105.42,0.57,1124
20220211,1087,1176,1319,590,4675947,-26.613223799017533,-0.1299999999999999,-5.14,5.69,0.0,92.68,-1.4,105.42,0.57,1097
20220221,1298,1320,1177,403,4204141,201.2694353348786,1.1749999999999998,-5.1625,7.5125,0.0,92.68,-1.4,105.42,0.57,1299
20220301,1612,1690,1665,1000,5293595,318.35990948452195,5.3,-1.3199999999999998,12.43,0.0,97.39,4.71,106.1,0.68,1617
20220311,1344,1436,1508,993,4994944,-264.7095565121442,8.959999999999999,4.46,13.830000000000002,0.0,97.39,4.71,106.1,0.68,1352
20220321,1114,1219,1360,313,6439357,-228.5894645849905,8.700000000000001,2.7363636363636363,14.7,0.0,97.39,4.71,106.1,0.68,1124
20220401,940,989,976,466,4959367,-180.29167947756127,11.55,4.0600000000000005,19.02,0.0,83.77,-13.62,106.83,0.73,943
20220411,974,937,1151,269,5222330,28.726878491050684,14.0,7.859999999999999,20.72,0.0,83.77,-13.62,106.83,0.73,972
20220421,1057,1052,1230,257,4891193,86.82842691193332,15.72,10.489999999999998,21.52,0.0,83.77,-13.62,106.83,0.73,1059
20220501,1247,1259,1319,464,4362033,189.39824610912183,15.44,8.66,22.31,0.0,87.1,3.33,107.5,0.67,1248
20220511,1186,1263,1321,214,4885180,-55.01861122035916,17.669999999999998,11.5,23.880000000000003,0.0,87.1,3.33,107.5,0.67,1193
20220521,1357,1398,1274,788,5144710,165.09130797806029,20.75454545454545,14.272727272727272,27.40909090909091,0.0,87.1,3.33,107.5,0.67,1358
20220601,1442,1558,1787,483,4888699,94.52633103020048,19.77,14.93,25.35,0.0,100.76,13.66,108.21,0.71,1453
20220611,1314,1342,1494,349,4511552,-135.00479416628264,21.64,17.53,26.49,0.0,100.76,13.66,108.21,0.71,1318
20220621,1402,1307,1407,600,4751809,76.0054888762993,25.67,22.43,29.6,0.0,100.76,13.66,108.21,0.71,1394
20220701,1448,1398,1556,625,4148192,51.69157210760386,27.1,23.2,32.04,0.0,108.88,8.12,108.73,0.52,1446
20220711,1668,1523,1665,1248,5028504,211.89479720446684,24.99,21.85,29.1,0.0,108.88,8.12,108.73,0.52,1658
20220721,1513,1683,1901,952,5117021,-129.81131830850677,25.672727272727272,22.463636363636365,29.71818181818181,0.0,108.88,8.12,108.73,0.52,1528
20220801,1928,1925,2129,1049,4453537,401.701058266284,27.630000000000003,24.95,31.19,0.0,122.44,13.56,108.63,-0.1,1929
20220811,1755,1961,1964,1009,5292240,-157.8896637265857,25.92,22.83,29.68,0.0,122.44,13.56,108.63,-0.1,1772
20220821,1497,1667,1804,978,5986031,-259.5817274877284,22.481818181818184,18.87272727272727,26.61818181818182,0.0,122.44,13.56,108.63,-0.1,1512
20220901,1900,2032,2231,1061,5744756,401.62729232822335,21.65,17.53,26.54,0.0,126.05,3.61,108.82,0.19,1914
20220911,1500,1778,1879,1338,4367662,-388.05545183960135,23.24,19.57,27.67,0.0,126.05,3.61,108.82,0.19,1526
20220921,1583,1571,1592,1787,5514938,56.23526659054596,18.0,12.79,24.78,0.0,126.05,3.61,108.82,0.19,1582
20221001,1841,1862,1921,1800,4840745,261.5084689711798,16.73,12.89,21.380000000000003,0.0,115.66,-10.39,109.16,0.34,1843
20221011,1517,1675,1651,0,5957458,-311.7038324259545,13.04,7.31,19.94,0.0,115.66,-10.39,109.16,0.34,1532
20221021,1481,1614,1572,0,5478193,-39.33144573744471,12.254545454545456,6.7,19.009090909090908,0.0,115.66,-10.39,109.16,0.34,1492
20221101,1543,1551,1501,1368,5615718,51.10217635982463,9.56,3.4,17.23,0.0,112.15,-3.51,109.07,-0.09,1543
20221111,1599,1538,1602,1468,5240846,50.25057631150935,10.79,5.5,17.55,0.0,112.15,-3.51,109.07,-0.09,1594
20221121,1378,1449,1500,0,5947709,-208.40351641323423,8.489999999999998,2.88,14.7,0.0,112.15,-3.51,109.07,-0.09,1385
20221201,1412,1431,1581,1259,5588625,30.64170556851036,1.39,-3.17,6.69,0.0,111.94,-0.21,109.26,0.19,1416
20221211,1510,1459,1643,1144,5466298,91.37490784723786,-2.2,-7.01,2.78,0.0,111.94,-0.21,109.26,0.19,1507
20221221,1806,1794,1953,1192,6647803,299.2268725757101,-3.1090909090909093,-7.609090909090909,2.1818181818181817,0.0,111.94,-0.21,109.26,0.19,1806
20230101,1350,1522,1710,1584,6013618,-438.9501855118433,0.09,-5.24,6.4,0.0,115.49,3.55,110.07,0.81,1367
20230111,1385,1500,1758,1025,7010629,31.69321453347948,1.93,-2.7,6.970000000000001,0.0,115.49,3.55,110.07,0.81,1399
20230121,1773,1899,2009,1586,3888801,385.7967594358117,-3.481818181818181,-9.027272727272727,2.327272727272728,0.0,115.49,3.55,110.07,0.81,1785
20230201,1557,1699,1753,1667,6509672,-214.8915103168833,1.54,-4.0,8.14,0.0,120.12,4.63,110.33,0.26,1570
20230211,1709,1860,1963,770,5403672,152.06411717441188,3.2300000000000004,-0.95,7.75,0.0,120.12,4.63,110.33,0.26,1722
20230221,1894,1933,2136,796,4819731,176.52701953519795,2.8,-3.6625,9.925,0.0,120.12,4.63,110.33,0.26,1899
20230301,2195,2075,2170,1907,6119988,286.6231422414576,8.24,1.33,15.78,0.0,125.45,5.33,110.52,0.19,2185
20230311,1650,1786,2068,1439,5830592,-521.8284186762965,8.45,1.81,15.59,0.0,125.45,5.33,110.52,0.19,1663
20230321,1267,1454,1604,1013,7344352,-378.4806077495296,11.227272727272728,4.690909090909091,18.09090909090909,0.0,125.45,5.33,110.52,0.19,1285
20230401,1130,1275,1387,886,5502598,-140.90093186851414,12.24,5.7,18.67,0.0,97.19,-28.26,110.77,0.25,1144
20230411,1036,1190,1380,637,6075940,-93.58101476782052,13.79,7.979999999999999,19.83,0.0,97.19,-28.26,110.77,0.25,1050
20230421,1220,1193,1436,690,4766209,170.52753758067388,13.22,7.540000000000001,18.71,0.0,97.19,-28.26,110.77,0.25,1221
20230501,1914,1700,1742,1129,5253006,673.2387225950624,15.51,9.47,21.54,0.0,104.97,7.78,111.13,0.36,1894
20230511,1410,1554,1544,257,5656878,-473.3311909421764,18.7,12.48,25.16,0.0,104.97,7.78,111.13,0.36,1421
20230521,1543,1374,1410,616,5111437,105.62825500700431,19.345454545454547,15.0,24.145454545454548,0.0,104.97,7.78,111.13,0.36,1527
20230601,1295,1354,1452,1400,5430372,-225.71346671104,21.15,16.27,26.79,0.0,102.3,-2.67,111.16,0.03,1301
20230611,1245,1211,1331,0,4543696,-57.9306882842584,22.47,17.580000000000002,28.43,0.0,102.3,-2.67,111.16,0.03,1243
20230621,1643,1424,1427,1460,4968801,379.532716507611,23.34,19.99,27.27,0.0,102.3,-2.67,111.16,0.03,1622
20230701,1331,1160,1279,0,4237582,-306.5974285620639,24.9,21.44,29.33,0.0,112.01,9.71,111.29,0.13,1316
20230711,1631,1612,1764,2075,4540502,315.5493048666985,24.75,22.380000000000003,27.95,0.0,112.01,9.71,111.29,0.13,1631
20230721,1621,1754,1968,1209,5166359,4.312952100177881,26.672727272727272,23.21818181818182,31.318181818181817,0.0,112.01,9.71,111.29,0.13,1636
20230801,1862,1835,2001,1200,4802047,225.94934772473948,27.71,23.91,32.440000000000005,0.0,122.43,10.42,112.28,0.99,1862
20230811,1682,1685,1767,1359,4628336,-178.09444062574084,26.26,22.83,30.910000000000004,0.0,122.43,10.42,112.28,0.99,1684
20230821,1546,1649,1702,900,5882843,-126.67073121287126,25.26363636363636,22.172727272727272,29.345454545454547,0.0,122.43,10.42,112.28,0.99,1557
20230901,1517,1608,1707,855,5116062,-30.622135641973955,24.12,19.7,29.630000000000003,0.0,116.08,-6.35,112.85,0.57,1526
20230911,1797,1820,1967,773,5955004,274.12007860789686,23.15,20.45,26.93,0.0,116.08,-6.35,112.85,0.57,1800
20230921,2179,2124,2678,1067,4722498,379.8754135146737,20.4,16.97,24.83,0.0,116.08,-6.35,112.85,0.57,2180
20231001,2382,2193,2221,1710,5068992,183.90972112572945,16.240000000000002,11.61,21.82,0.0,144.26,28.18,113.27,0.42,2364
20231011,2275,2191,2242,1400,5420276,-97.1611995894932,14.84,9.63,21.2,0.0,144.26,28.18,113.27,0.42,2267
20231021,2678,2382,2295,2224,5372697,382.2406484763155,13.236363636363636,7.645454545454545,20.39090909090909,0.0,144.26,28.18,113.27,0.42,2649
