시점,특,상,중,하,총거래물량,전순 가격차이,평균기온(℃),최저기온(℃),최고기온(℃),impact,물가지수,전기대비증감,총 물가지수,총 전기대비증감,평균가격
20200101,3117,3096,2671,2625,842458,2994.2208006947285,2.31,-2.03,7.609999999999999,-0.4294871794871794,89.37,2.36,100.09,0.37,2994
20200111,2891,2941,2607,2664,959305,-156.40146101214805,0.6599999999999999,-3.33,5.720000000000001,-0.3289473684210526,89.37,2.36,100.09,0.37,2838
20200121,3114,2880,2558,2596,938834,124.9804138839986,4.363636363636363,0.6272727272727273,8.818181818181818,0.0,89.37,2.36,100.09,0.37,2963
20200201,2826,2699,2580,2499,816499,-203.71882511473723,0.26,-4.88,5.86,-0.9436893203883496,88.46,-0.91,100.16,0.07,2759
20200211,2728,2674,2558,2487,977620,-73.03321644764583,4.21,-0.85,10.1,-0.3924731182795699,88.46,-0.91,100.16,0.07,2686
20200221,2787,2623,2564,2423,891266,37.49187141305356,5.9,1.2222222222222223,10.9,0.0,88.46,-0.91,100.16,0.07,2724
20200301,2814,2558,2463,2333,1066571,-13.855179817714998,5.61,0.3099999999999999,11.31,0.0,87.99,-0.47,99.94,-0.22,2710
20200311,2669,2581,2533,2465,1108550,-77.85359505310771,6.76,0.5599999999999999,13.09,-1.1927710843373494,87.99,-0.47,99.94,-0.22,2632
20200321,2561,2657,2495,2295,1287403,-75.87125805462483,10.509090909090908,3.709090909090909,17.236363636363635,0.0,87.99,-0.47,99.94,-0.22,2556
20200401,2779,2766,2557,2451,1239836,178.2521398789886,9.43,2.67,16.4,-1.4090909090909092,87.05,-0.94,99.5,-0.44,2734
20200411,2963,2812,2575,2375,973706,138.97964360743254,10.83,5.4,16.82,0.0,87.05,-0.94,99.5,-0.44,2873
20200421,2706,2422,2636,1954,1707940,-234.17235894419355,11.61,4.83,18.04,0.0,87.05,-0.94,99.5,-0.44,2639
20200501,2224,1979,2368,1800,2161899,-440.0474439389845,17.71,12.9,23.07,0.0,88.73,1.68,99.44,-0.06,2199
20200511,2184,1754,2130,2262,2963708,-82.94736562069102,16.68,11.98,22.06,0.0,88.73,1.68,99.44,-0.06,2116
20200521,1789,1353,1490,2088,5475648,-436.3765487079004,18.245454545454542,12.872727272727271,24.145454545454548,0.0,88.73,1.68,99.44,-0.06,1680
20200601,2211,1528,1827,1902,3831016,343.3068523672605,22.69,17.119999999999997,28.97,1.8756345177664973,88.54,-0.19,99.71,0.27,2023
20200611,2794,2244,2190,2117,1759451,552.4479547362798,22.7,18.66,27.610000000000003,1.4869466515323495,88.54,-0.19,99.71,0.27,2575
20200621,2918,2568,2457,2463,1322612,202.28979861794824,22.67,18.79,27.35,1.7677902621722847,88.54,-0.19,99.71,0.27,2778
20200701,3208,2696,2773,2576,1183852,248.632164741412,22.49,18.89,27.02,1.3859447004608294,91.76,3.22,99.63,-0.08,3026
20200711,4019,3630,3869,3267,819264,888.2071311899872,21.9,18.94,25.51,1.2935323383084578,91.76,3.22,99.63,-0.08,3915
20200721,4542,3897,4383,4477,859105,504.0368368536874,23.10909090909091,20.945454545454545,26.20909090909091,1.3540372670807452,91.76,3.22,99.63,-0.08,4419
20200801,4833,4791,4746,4563,607242,385.65219366453584,25.53,23.29,28.53,1.553875236294896,107.9,16.14,100.19,0.56,4804
20200811,5174,4760,4962,4850,739959,270.0895750017344,27.28,23.81,31.82,2.415496911847277,107.9,16.14,100.19,0.56,5074
20200821,4550,4556,4367,4535,873260,-549.7928038931914,26.527272727272727,23.30909090909091,31.036363636363635,2.1852986217457886,107.9,16.14,100.19,0.56,4525
20200901,4549,5346,4954,5252,646831,217.11164407777324,22.33,19.2,26.130000000000003,1.8491620111731844,115.78,7.88,100.74,0.55,4742
20200911,5450,5455,4951,4978,717319,619.2234906307385,20.02,16.5,24.68,0.0,115.78,7.88,100.74,0.55,5361
20200921,5438,5409,4833,5325,956070,-32.204564814331206,17.96,13.18,23.85,0.0,115.78,7.88,100.74,0.55,5329
20201001,5516,5717,4877,5140,505705,84.30121117526414,16.66,11.83,22.11,0.0,118.53,2.75,100.18,-0.56,5413
20201011,5358,5408,4775,4642,625922,-175.52875079086334,13.11,7.68,20.01,0.0,118.53,2.75,100.18,-0.56,5237
20201021,5419,5293,5350,4814,770982,129.60355891731342,11.427272727272728,5.727272727272728,18.11818181818182,0.0,118.53,2.75,100.18,-0.56,5367
20201101,5630,5549,5049,5418,856099,136.31331518910793,9.23,3.93,14.76,0.0,117.74,-0.79,100.09,-0.09,5503
20201111,5533,5639,4961,5231,1034072,-60.2606462192598,11.37,5.5600000000000005,18.15,0.0,117.74,-0.79,100.09,-0.09,5443
20201121,5534,5276,4198,5289,848623,-182.46277657774408,4.7700000000000005,0.6399999999999999,9.55,0.0,117.74,-0.79,100.09,-0.09,5261
20201201,5459,5530,4926,5239,748374,104.45562552286538,2.24,-2.62,8.18,0.0,118.17,0.43,100.33,0.24,5365
20201211,5249,5445,4820,5181,541510,-164.3877044572273,-1.61,-6.090000000000001,3.39,-0.1391147244805781,118.17,0.43,100.33,0.24,5201
20201221,5442,5142,4853,5308,731465,119.46618050107918,0.3727272727272727,-4.427272727272728,6.263636363636365,-0.0599369085173501,118.17,0.43,100.33,0.24,5320
20210101,5450,5475,5135,5339,462030,69.29615045627452,-5.96,-11.17,-0.71,-0.55,118.45,0.28,101.04,0.71,5389
20210111,5512,5659,5311,5221,630700,106.30389080904116,-0.91,-6.659999999999999,5.19,-0.2528263103802672,118.45,0.28,101.04,0.71,5496
20210121,5475,5008,5193,5145,758686,-125.30284315475365,3.2,-1.5,8.481818181818182,-0.0839002267573696,118.45,0.28,101.04,0.71,5370
20210201,5597,5610,5114,5304,903782,149.5740559569076,1.52,-3.65,7.0,-0.048,118.85,0.4,101.58,0.54,5520
20210211,5601,5357,5356,5549,465303,30.00693540680186,2.72,-3.0,9.14,-0.0896226415094339,118.85,0.4,101.58,0.54,5550
20210221,5114,4603,5696,5451,454891,-444.23056398603785,6.5875,0.75,12.7625,-0.0346820809248554,118.85,0.4,101.58,0.54,5106
20210301,5325,5485,5742,5567,745186,306.6781218668775,5.96,0.94,11.97,-0.7380952380952381,120.11,1.26,101.84,0.26,5412
20210311,5540,5325,5921,5416,963249,145.81498645843476,9.39,3.74,15.27,-0.0173410404624277,120.11,1.26,101.84,0.26,5558
20210321,5320,5253,6217,5836,988509,-150.37890819052518,10.581818181818182,4.545454545454546,16.963636363636365,0.0,120.11,1.26,101.84,0.26,5408
20210401,5170,5945,4398,5773,1174025,-395.9606824012872,12.14,6.29,18.16,-0.4222222222222222,126.65,6.54,101.98,0.14,5012
20210411,5313,5427,6334,5856,769776,416.6687149074396,11.68,5.32,18.1,-0.9507246376811594,126.65,6.54,101.98,0.14,5429
20210421,4318,4719,5350,4848,1010992,-948.0988373937962,15.65,10.22,21.57,0.0,126.65,6.54,101.98,0.14,4481
20210501,4766,4865,5614,4898,957340,369.882857250097,14.13,8.22,19.84,0.0,129.59,2.94,102.05,0.07,4850
20210511,4175,3935,4957,4060,1514332,-627.2492747547494,18.130000000000003,13.6,23.21,0.0,129.59,2.94,102.05,0.07,4223
20210521,3798,2594,3331,3146,2397514,-668.647488514131,17.509090909090908,12.4,23.30909090909091,0.0,129.59,2.94,102.05,0.07,3555
20210601,4219,3210,3379,2947,2362542,404.9535673691089,21.2,15.97,26.77,1.4177777777777778,127.96,-1.63,102.05,0.0,3959
20210611,4976,4003,4006,4406,1007125,759.714818541835,21.81,18.26,26.23,1.15625,127.96,-1.63,102.05,0.0,4719
20210621,5064,3687,3822,3013,1595676,-90.91413333968376,22.16,18.32,27.21,0.8767441860465116,127.96,-1.63,102.05,0.0,4628
20210701,5578,4608,4994,4212,1119960,704.1601560979861,23.8,20.87,27.68,1.2705761316872428,131.17,3.21,102.26,0.21,5332
20210711,5976,5591,5360,4496,785250,456.671486440453,26.44,22.7,31.44,2.263335204941044,131.17,3.21,102.26,0.21,5789
20210721,6079,5870,5326,4791,680116,119.86086214669558,27.63636363636364,22.963636363636365,33.04545454545455,3.119959162838182,131.17,3.21,102.26,0.21,5909
20210801,3595,6306,6221,5910,1040361,-1878.947216177634,26.79,23.21,31.82,2.747332959011791,135.62,4.45,102.75,0.49,4030
20210811,6651,6549,6355,5092,556336,2521.276194878636,24.21,20.630000000000003,28.85,1.7952095808383233,135.62,4.45,102.75,0.49,6551
20210821,1849,5740,6318,5166,1832008,-4286.826799406046,23.50909090909091,20.818181818181817,27.13636363636364,1.4230769230769231,135.62,4.45,102.75,0.49,2264
20210901,9499,5081,5556,5465,693389,5611.791438809752,21.56,18.36,25.58,1.2361111111111112,135.54,-0.08,103.17,0.42,7876
20210911,1821,6845,6426,5787,2019067,-5681.210963764018,21.77,17.580000000000002,26.68,0.0,135.54,-0.08,103.17,0.42,2195
20210921,6659,5522,6273,5661,415369,4269.028128340668,20.67,17.05,25.27,0.0,135.54,-0.08,103.17,0.42,6464
20211001,0,6783,6546,5704,142195,20765.93939368682,21.12,17.0,26.48,0.0,134.75,-0.79,103.35,0.18,27230
20211011,6439,6657,6487,5500,656496,-20779.48890019984,13.56,9.33,18.71,-1.5083798882681565,134.75,-0.79,103.35,0.18,6451
20211021,6279,5882,6305,5548,634534,-223.9002462070457,11.127272727272729,5.418181818181818,18.581818181818186,0.0,134.75,-0.79,103.35,0.18,6227
20211101,6893,6817,6786,5215,829891,603.1283669607092,10.83,6.0,16.93,0.0,135.26,0.51,103.87,0.52,6830
20211111,6609,5052,6197,4570,810234,-517.102879622491,8.36,3.21,14.81,0.0,135.26,0.51,103.87,0.52,6313
