시점,특,상,중,하,총거래물량,전순 가격차이,평균기온(℃),최저기온(℃),최고기온(℃),impact,물가지수,전기대비증감,총 물가지수,총 전기대비증감,평균가격
20200101,1079,928,791,813,10385416,1047.191724626149,2.31,-2.03,7.609999999999999,-0.4294871794871794,138.77,12.46,100.09,0.37,1047
20200111,779,732,630,602,12777920,-280.1981597581022,0.6599999999999999,-3.33,5.720000000000001,-0.3289473684210526,138.77,12.46,100.09,0.37,767
20200121,625,588,481,333,8964160,-152.3362635108342,4.363636363636363,0.6272727272727273,8.818181818181818,0.0,138.77,12.46,100.09,0.37,615
20200201,439,423,347,260,9785119,-180.05100125824492,0.26,-4.88,5.86,-0.9436893203883496,95.4,-43.37,100.16,0.07,435
20200211,472,454,340,206,10499899,31.85529357921922,4.21,-0.85,10.1,-0.3924731182795699,95.4,-43.37,100.16,0.07,466
20200221,385,390,325,321,10981185,-81.3275729381478,5.9,1.2222222222222223,10.9,0.0,95.4,-43.37,100.16,0.07,385
20200301,416,410,328,280,10118480,28.25693287714273,5.61,0.3099999999999999,11.31,0.0,74.65,-20.75,99.94,-0.22,413
20200311,354,358,306,210,11512402,-59.14933781254905,6.76,0.5599999999999999,13.09,-1.1927710843373494,74.65,-20.75,99.94,-0.22,354
20200321,425,416,322,352,10903783,68.05770944240629,10.509090909090908,3.709090909090909,17.236363636363635,0.0,74.65,-20.75,99.94,-0.22,422
20200401,356,347,298,315,12226774,-68.47870649674559,9.43,2.67,16.4,-1.4090909090909092,69.93,-4.72,99.5,-0.44,354
20200411,412,380,255,361,8690475,51.03133324142118,10.83,5.4,16.82,0.0,69.93,-4.72,99.5,-0.44,405
20200421,419,389,283,177,10751627,7.416663200798837,11.61,4.83,18.04,0.0,69.93,-4.72,99.5,-0.44,412
20200501,403,368,284,314,8336487,-16.385414348647203,17.71,12.9,23.07,0.0,68.21,-1.72,99.44,-0.06,396
20200511,344,302,255,328,11448716,-59.18692978151614,16.68,11.98,22.06,0.0,68.21,-1.72,99.44,-0.06,337
20200521,334,276,269,249,10847755,-11.876057437866166,18.245454545454542,12.872727272727271,24.145454545454548,0.0,68.21,-1.72,99.44,-0.06,325
20200601,421,375,338,296,9570679,88.68421965017399,22.69,17.119999999999997,28.97,1.8756345177664973,75.55,7.34,99.71,0.27,414
20200611,488,413,423,365,8589302,62.00521377804034,22.7,18.66,27.610000000000003,1.4869466515323495,75.55,7.34,99.71,0.27,476
20200621,537,486,529,273,7961569,50.16022051561981,22.67,18.79,27.35,1.7677902621722847,75.55,7.34,99.71,0.27,526
20200701,476,393,444,397,9978437,-67.54653232052323,22.49,18.89,27.02,1.3859447004608294,93.47,17.92,99.63,-0.08,458
20200711,491,361,390,275,8920460,6.648426746541759,21.9,18.94,25.51,1.2935323383084578,93.47,17.92,99.63,-0.08,465
20200721,445,330,335,280,10111959,-41.78446491397273,23.10909090909091,20.945454545454545,26.20909090909091,1.3540372670807452,93.47,17.92,99.63,-0.08,423
20200801,526,422,451,344,8395771,84.74365298000407,25.53,23.29,28.53,1.553875236294896,104.23,10.76,100.19,0.56,508
20200811,555,397,459,329,10740378,16.396570716739916,27.28,23.81,31.82,2.415496911847277,104.23,10.76,100.19,0.56,524
20200821,992,727,671,1013,9368373,403.68447596379895,26.527272727272727,23.30909090909091,31.036363636363635,2.1852986217457886,104.23,10.76,100.19,0.56,928
20200901,998,692,707,595,10526879,-18.23582662986223,22.33,19.2,26.130000000000003,1.8491620111731844,162.66,58.43,100.74,0.55,910
20200911,975,708,672,549,11959069,-5.044449722719492,20.02,16.5,24.68,0.0,162.66,58.43,100.74,0.55,905
20200921,1108,783,725,668,16608963,118.15423868123196,17.96,13.18,23.85,0.0,162.66,58.43,100.74,0.55,1023
20201001,970,693,642,532,10221329,-129.03389820400866,16.66,11.83,22.11,0.0,143.09,-19.57,100.18,-0.56,894
20201011,656,456,472,450,12605265,-287.9939552143287,13.11,7.68,20.01,0.0,143.09,-19.57,100.18,-0.56,606
20201021,519,366,375,372,18044470,-122.71595789071466,11.427272727272728,5.727272727272728,18.11818181818182,0.0,143.09,-19.57,100.18,-0.56,483
20201101,499,357,355,399,19200914,-11.19080757433136,9.23,3.93,14.76,0.0,91.72,-51.37,100.09,-0.09,472
20201111,509,342,355,269,22301547,10.286178958597077,11.37,5.5600000000000005,18.15,0.0,91.72,-51.37,100.09,-0.09,482
20201121,486,369,353,311,22270185,-11.949796524090686,4.7700000000000005,0.6399999999999999,9.55,0.0,91.72,-51.37,100.09,-0.09,470
20201201,377,349,297,238,13882845,-98.520009329414,2.24,-2.62,8.18,0.0,82.32,-9.4,100.33,0.24,372
20201211,415,363,341,321,9105641,34.303976531248225,-1.61,-6.090000000000001,3.39,-0.1391147244805781,82.32,-9.4,100.33,0.24,406
