시점,특,상,중,하,총거래물량,전순 가격차이,impact,평균기온(℃),최저기온(℃),최고기온(℃),물가지수,전기대비증감,총 물가지수,총 전기대비증감,평균가격
20200101,2612,1785,2016,1814,4657612,2474.9787685730503,-0.4294871794871794,2.31,-2.03,7.609999999999999,90.29,-1.83,100.09,0.37,2475
20200111,2452,1873,2085,2598,16863253,-101.99840515811228,-0.3289473684210526,0.6599999999999999,-3.33,5.720000000000001,90.29,-1.83,100.09,0.37,2373
20200121,2298,1756,1606,2026,1061377,-139.75193781578037,0.0,4.363636363636363,0.6272727272727273,8.818181818181818,90.29,-1.83,100.09,0.37,2233
20200201,2171,1606,1796,1576,1159856,-170.64762185317704,-0.9436893203883496,0.26,-4.88,5.86,89.57,-0.72,100.16,0.07,2063
20200211,1966,1628,1876,1415,1107307,-169.78070209398174,-0.3924731182795699,4.21,-0.85,10.1,89.57,-0.72,100.16,0.07,1893
20200221,2085,1639,1801,1510,1022004,98.7937476247614,0.0,5.9,1.2222222222222223,10.9,89.57,-0.72,100.16,0.07,1992
20200301,2013,1694,1697,1537,1125659,-52.347751858421816,0.0,5.61,0.3099999999999999,11.31,90.55,0.98,99.94,-0.22,1939
20200311,1959,1604,1617,1559,1285111,-68.52958026795068,-1.1927710843373494,6.76,0.5599999999999999,13.09,90.55,0.98,99.94,-0.22,1871
20200321,1937,1523,1628,1507,1263801,-32.861031990936226,0.0,10.509090909090908,3.709090909090909,17.236363636363635,90.55,0.98,99.94,-0.22,1838
20200401,1887,1503,1678,1370,1446016,-53.40175735569164,-1.4090909090909092,9.43,2.67,16.4,92.07,1.52,99.5,-0.44,1784
20200411,2078,1603,1851,1621,879160,191.7691269667028,0.0,10.83,5.4,16.82,92.07,1.52,99.5,-0.44,1976
20200421,2037,1570,1697,1445,1360388,-65.0292138670793,0.0,11.61,4.83,18.04,92.07,1.52,99.5,-0.44,1911
20200501,2190,1620,1526,1480,733866,124.09858611187224,0.0,17.71,12.9,23.07,92.93,0.86,99.44,-0.06,2035
20200511,2200,1769,1713,1570,928947,44.26515012569121,0.0,16.68,11.98,22.06,92.93,0.86,99.44,-0.06,2080
