시점,특,상,중,하,총거래물량,전순 가격차이,impact,평균기온(℃),최저기온(℃),최고기온(℃),물가지수,전기대비증감,총 물가지수,총 전기대비증감,평균가격
20200101,866,618,704,655,6488385,817.1560349415652,-0.4294871794871794,2.31,-2.03,7.609999999999999,88.32,4.7,100.09,0.37,817
20200111,799,583,584,578,7115930,-64.88077877494152,-0.3289473684210526,0.6599999999999999,-3.33,5.720000000000001,88.32,4.7,100.09,0.37,752
20200121,816,550,584,944,4672702,8.932446545689231,0.0,4.363636363636363,0.6272727272727273,8.818181818181818,88.32,4.7,100.09,0.37,761
20200201,851,602,584,485,4844759,35.4954457533139,-0.9436893203883496,0.26,-4.88,5.86,86.45,-1.87,100.16,0.07,797
20200211,870,621,499,448,5721524,11.424361207911147,-0.3924731182795699,4.21,-0.85,10.1,86.45,-1.87,100.16,0.07,808
20200221,880,633,600,525,4159935,16.876369353138216,0.0,5.9,1.2222222222222223,10.9,86.45,-1.87,100.16,0.07,825
20200301,862,591,586,542,5075095,-23.260750319842487,0.0,5.61,0.3099999999999999,11.31,88.16,1.71,99.94,-0.22,802
20200311,836,599,524,690,5379720,-19.65865456906306,-1.1927710843373494,6.76,0.5599999999999999,13.09,88.16,1.71,99.94,-0.22,782
20200321,833,565,482,599,5650445,-8.95299464502466,0.0,10.509090909090908,3.709090909090909,17.236363636363635,88.16,1.71,99.94,-0.22,773
20200401,793,510,556,603,6319711,-42.20536643684829,-1.4090909090909092,9.43,2.67,16.4,84.61,-3.55,99.5,-0.44,731
20200411,857,560,540,796,4990395,61.03436427436623,0.0,10.83,5.4,16.82,84.61,-3.55,99.5,-0.44,792
20200421,998,649,651,941,6036387,135.25160510238936,0.0,11.61,4.83,18.04,84.61,-3.55,99.5,-0.44,927
20200501,983,665,680,852,5128004,-10.23930930564586,0.0,17.71,12.9,23.07,90.99,6.38,99.44,-0.06,917
20200511,892,587,676,626,7022209,-88.25807965638978,0.0,16.68,11.98,22.06,90.99,6.38,99.44,-0.06,829
20200521,877,595,679,592,7249915,-11.68717742944591,0.0,18.245454545454542,12.872727272727271,24.145454545454548,90.99,6.38,99.44,-0.06,817
20200601,632,426,536,709,8724339,-226.76611824358497,1.8756345177664973,22.69,17.119999999999997,28.97,86.28,-4.71,99.71,0.27,590
20200611,636,414,462,564,7795625,-4.34062737286979,1.4869466515323495,22.7,18.66,27.610000000000003,86.28,-4.71,99.71,0.27,586
20200621,702,438,533,546,7263890,61.60693909054885,1.7677902621722847,22.67,18.79,27.35,86.28,-4.71,99.71,0.27,648
20200701,700,453,531,476,8253875,-3.039307282348659,1.3859447004608294,22.49,18.89,27.02,92.97,6.69,99.63,-0.08,644
20200711,886,576,694,624,6649223,177.42229038283722,1.2935323383084578,21.9,18.94,25.51,92.97,6.69,99.63,-0.08,822
