시점,특,상,중,하,총거래물량,전순 가격차이,평균기온(℃),최저기온(℃),최고기온(℃),impact,물가지수,전기대비증감,총 물가지수,총 전기대비증감,평균가격
20200101,5162,5549,4809,9721,1240751,5193.664789706543,2.31,-2.03,7.609999999999999,-0.4294871794871794,115.4,26.09,100.09,0.37,5194
20200111,6495,6529,5883,7781,1309913,1300.7244426784137,0.6599999999999999,-3.33,5.720000000000001,-0.3289473684210526,115.4,26.09,100.09,0.37,6494
20200121,3883,4645,4469,3050,1379087,-2550.985608103096,4.363636363636363,0.6272727272727273,8.818181818181818,0.0,115.4,26.09,100.09,0.37,3943
20200201,1810,2098,2068,2616,1342419,-2109.4395089104137,0.26,-4.88,5.86,-0.9436893203883496,90.46,-24.94,100.16,0.07,1834
20200211,1767,2118,2083,2767,1603455,-37.2646988959018,4.21,-0.85,10.1,-0.3924731182795699,90.46,-24.94,100.16,0.07,1797
20200221,1813,1806,1524,1650,1516097,14.51989116353252,5.9,1.2222222222222223,10.9,0.0,90.46,-24.94,100.16,0.07,1811
20200301,1945,2011,1896,1832,1523166,138.2503627711069,5.61,0.3099999999999999,11.31,0.0,81.31,-9.15,99.94,-0.22,1949
20200311,2045,2307,2098,2258,1867338,116.9661061172926,6.76,0.5599999999999999,13.09,-1.1927710843373494,81.31,-9.15,99.94,-0.22,2066
20200321,1945,1983,1872,1013,2144551,-119.34955195179714,10.509090909090908,3.709090909090909,17.236363636363635,0.0,81.31,-9.15,99.94,-0.22,1947
20200401,1578,1761,1855,767,2125984,-352.4292517708459,9.43,2.67,16.4,-1.4090909090909092,73.41,-7.9,99.5,-0.44,1595
20200411,1674,1821,2047,698,2009449,92.64099286167924,10.83,5.4,16.82,0.0,73.41,-7.9,99.5,-0.44,1687
20200421,1428,1658,1711,492,2200523,-237.7755490369368,11.61,4.83,18.04,0.0,73.41,-7.9,99.5,-0.44,1450
20200501,1512,1519,1831,998,2052902,65.31486030021688,17.71,12.9,23.07,0.0,71.78,-1.63,99.44,-0.06,1515
20200511,1719,1664,1763,1099,2010654,199.7755289227889,16.68,11.98,22.06,0.0,71.78,-1.63,99.44,-0.06,1715
20200521,2006,1846,2689,569,2092971,281.9957749231403,18.245454545454542,12.872727272727271,24.145454545454548,0.0,71.78,-1.63,99.44,-0.06,1997
20200601,1652,1654,2177,704,2010299,-340.4978414445202,22.69,17.119999999999997,28.97,1.8756345177664973,81.18,9.4,99.71,0.27,1656
20200611,3055,3153,2710,3605,1625774,1405.312903192297,22.7,18.66,27.610000000000003,1.4869466515323495,81.18,9.4,99.71,0.27,3061
20200621,4404,4593,3579,6278,1480984,1355.5367505558029,22.67,18.79,27.35,1.7677902621722847,81.18,9.4,99.71,0.27,4417
20200701,4999,4691,4573,3918,1447935,550.3414139222014,22.49,18.89,27.02,1.3859447004608294,111.3,30.12,99.63,-0.08,4967
20200711,4640,5336,4344,5064,1434134,-267.0317533607549,21.9,18.94,25.51,1.2935323383084578,111.3,30.12,99.63,-0.08,4700
20200721,4772,5853,4162,3339,1700404,154.4894076968003,23.10909090909091,20.945454545454545,26.20909090909091,1.3540372670807452,111.3,30.12,99.63,-0.08,4855
20200801,9099,10845,7239,6462,1212846,4390.255009579789,25.53,23.29,28.53,1.553875236294896,176.77,65.47,100.19,0.56,9245
20200811,11639,11193,7114,3500,1077128,2313.643444499259,27.28,23.81,31.82,2.415496911847277,176.77,65.47,100.19,0.56,11559
20200821,5767,6200,5255,3041,1526994,-5755.10665484878,26.527272727272727,23.30909090909091,31.036363636363635,2.1852986217457886,176.77,65.47,100.19,0.56,5804
20200901,4705,5291,4339,1059,1263765,-1051.7929897058875,22.33,19.2,26.130000000000003,1.8491620111731844,142.79,-33.98,100.74,0.55,4752
20200911,6649,7763,5991,5134,1380988,1986.8209678540093,20.02,16.5,24.68,0.0,142.79,-33.98,100.74,0.55,6739
20200921,4054,4779,4235,4903,2052091,-2620.933055154507,17.96,13.18,23.85,0.0,142.79,-33.98,100.74,0.55,4118
20201001,1429,1671,2646,2575,1571764,-2657.339551708298,16.66,11.83,22.11,0.0,98.16,-44.63,100.18,-0.56,1460
20201011,1685,1818,2081,0,1616372,239.037853781638,13.11,7.68,20.01,0.0,98.16,-44.63,100.18,-0.56,1699
20201021,1794,2015,2366,0,2118862,118.55490715165274,11.427272727272728,5.727272727272728,18.11818181818182,0.0,98.16,-44.63,100.18,-0.56,1818
20201101,1705,2079,2299,504,1630462,-77.90455672253734,9.23,3.93,14.76,0.0,76.99,-21.17,100.09,-0.09,1740
20201111,1749,2238,2086,2647,1785321,54.68743929242305,11.37,5.5600000000000005,18.15,0.0,76.99,-21.17,100.09,-0.09,1795
20201121,1375,1527,1933,1125,1261671,-400.9597780310101,4.7700000000000005,0.6399999999999999,9.55,0.0,76.99,-21.17,100.09,-0.09,1394
20201201,2373,2425,2451,3000,1296005,984.0689417556804,2.24,-2.62,8.18,0.0,80.43,3.44,100.33,0.24,2378
20201211,2718,2753,2710,2300,1112726,343.2344283647276,-1.61,-6.090000000000001,3.39,-0.1391147244805781,80.43,3.44,100.33,0.24,2721
20201221,3680,3939,3354,0,1679406,978.8982670349674,0.3727272727272727,-4.427272727272728,6.263636363636365,-0.0599369085173501,80.43,3.44,100.33,0.24,3700
