시점,특,상,중,하,총거래물량,전순 가격차이,평균기온(℃),최저기온(℃),최고기온(℃),impact,물가지수,전기대비증감,총 물가지수,총 전기대비증감,평균가격
20200101,830,797,790,883,12811664,828.3764422668004,2.31,-2.03,7.609999999999999,-0.4294871794871794,79.78,11.28,0.0,0.0,828
20200111,828,829,839,858,14300010,2.1825995643860097,0.6599999999999999,-3.33,5.720000000000001,-0.3289473684210526,79.78,11.28,0.0,0.0,831
20200121,842,858,900,911,9254577,18.827347176997364,4.363636363636363,0.6272727272727273,8.818181818181818,0.0,79.78,11.28,0.0,0.0,849
20200201,845,805,885,887,11636074,-3.926431278112318,0.26,-4.88,5.86,-0.9436893203883496,85.65,5.87,100.16,0.07,845
20200211,925,932,953,924,12114046,81.07648150869124,4.21,-0.85,10.1,-0.3924731182795699,85.65,5.87,100.16,0.07,927
20200221,1264,1287,1297,1475,11563208,352.8536265472218,5.9,1.2222222222222223,10.9,0.0,85.65,5.87,100.16,0.07,1279
20200301,1010,1067,1123,1088,12180031,-256.2643003040357,5.61,0.3099999999999999,11.31,0.0,113.13,27.48,99.94,-0.22,1023
20200311,931,973,1161,1086,13477262,-70.76035289024128,6.76,0.5599999999999999,13.09,-1.1927710843373494,113.13,27.48,99.94,-0.22,952
20200321,932,976,1026,1146,12907749,-0.1950082967244952,10.509090909090908,3.709090909090909,17.236363636363635,0.0,113.13,27.48,99.94,-0.22,952
20200401,929,1008,938,962,19645694,-11.31621975098892,9.43,2.67,16.4,-1.4090909090909092,111.43,-1.7,99.5,-0.44,941
20200411,881,909,777,848,15766430,-65.26207984290647,10.83,5.4,16.82,0.0,111.43,-1.7,99.5,-0.44,876
20200421,811,862,735,866,22763423,-58.83269910976833,11.61,4.83,18.04,0.0,111.43,-1.7,99.5,-0.44,817
20200501,739,872,802,879,17848956,-50.27438359356188,17.71,12.9,23.07,0.0,102.25,-9.18,99.44,-0.06,766
20200511,673,826,884,997,21243929,-52.1827845310022,16.68,11.98,22.06,0.0,102.25,-9.18,99.44,-0.06,714
20200521,568,675,734,856,25844367,-114.81934435033908,18.245454545454542,12.872727272727271,24.145454545454548,0.0,102.25,-9.18,99.44,-0.06,599
20200601,534,528,520,614,25053436,-64.42917104519438,22.69,17.119999999999997,28.97,1.8756345177664973,95.4,-6.85,99.71,0.27,535
20200611,567,477,475,673,18104897,22.71620279750391,22.7,18.66,27.610000000000003,1.4869466515323495,95.4,-6.85,99.71,0.27,558
20200621,593,520,511,688,19024530,28.102352971762457,22.67,18.79,27.35,1.7677902621722847,95.4,-6.85,99.71,0.27,586
20200701,566,525,545,598,15216603,-24.39030689853007,22.49,18.89,27.02,1.3859447004608294,88.5,-6.9,99.63,-0.08,561
20200711,682,612,567,736,10695786,111.23100295928656,21.9,18.94,25.51,1.2935323383084578,88.5,-6.9,99.63,-0.08,673
20200721,779,688,688,763,13504482,93.92529513275952,23.10909090909091,20.945454545454545,26.20909090909091,1.3540372670807452,88.5,-6.9,99.63,-0.08,767
20200801,835,753,711,885,12457429,58.51769332387892,25.53,23.29,28.53,1.553875236294896,91.3,2.8,100.19,0.56,825
20200811,902,825,837,975,13881158,71.71189143546962,27.28,23.81,31.82,2.415496911847277,91.3,2.8,100.19,0.56,897
20200821,890,845,901,1036,13451583,-4.179677876632354,26.527272727272727,23.30909090909091,31.036363636363635,2.1852986217457886,91.3,2.8,100.19,0.56,893
20200901,945,983,1045,1166,13465475,69.03390950977325,22.33,19.2,26.130000000000003,1.8491620111731844,100.51,9.21,100.74,0.55,962
20200911,961,1011,1112,1111,14913754,14.503476059217974,20.02,16.5,24.68,0.0,100.51,9.21,100.74,0.55,976
20200921,969,972,1003,1094,15706117,-1.4523162894179222,17.96,13.18,23.85,0.0,100.51,9.21,100.74,0.55,975
20201001,1101,1055,982,1202,9965209,121.31509532745554,16.66,11.83,22.11,0.0,107.03,6.52,100.18,-0.56,1096
20201011,1072,1029,1086,1115,12687369,-26.43795776905813,13.11,7.68,20.01,0.0,107.03,6.52,100.18,-0.56,1070
20201021,1094,1068,1098,1184,14312773,25.689792513787552,11.427272727272728,5.727272727272728,18.11818181818182,0.0,107.03,6.52,100.18,-0.56,1095
20201101,1138,1109,1150,1245,13502611,43.95923324738283,9.23,3.93,14.76,0.0,111.13,4.1,100.09,-0.09,1139
20201111,1169,1139,1185,1292,13676936,31.686144037510985,11.37,5.5600000000000005,18.15,0.0,111.13,4.1,100.09,-0.09,1171
20201121,1176,1148,1249,1318,12322212,11.16691500436059,4.7700000000000005,0.6399999999999999,9.55,0.0,111.13,4.1,100.09,-0.09,1182
20201201,1124,1131,1204,1329,12703037,-46.03567693422474,2.24,-2.62,8.18,0.0,113.89,2.76,100.33,0.24,1136
20201211,1140,1186,1240,1285,9618079,18.124484583318463,-1.61,-6.090000000000001,3.39,-0.1391147244805781,113.89,2.76,100.33,0.24,1154
20201221,1202,1206,1356,1432,13933610,64.28383498284825,0.3727272727272727,-4.427272727272728,6.263636363636365,-0.0599369085173501,113.89,2.76,100.33,0.24,1219
20210101,1364,1430,1536,1507,7167661,164.7071654030308,-5.96,-11.17,-0.71,-0.55,126.5,12.61,101.04,0.71,1383
20210111,1545,1626,1778,1684,13123796,186.1838168022116,-0.91,-6.659999999999999,5.19,-0.2528263103802672,126.5,12.61,101.04,0.71,1569
20210121,1509,1604,1620,1756,10840646,-34.04849928576323,3.2,-1.5,8.481818181818182,-0.0839002267573696,126.5,12.61,101.04,0.71,1535
20210201,1584,1628,1728,1799,12631375,68.4866401666161,1.52,-3.65,7.0,-0.048,143.66,17.16,101.58,0.54,1604
20210211,1776,1865,1985,2031,7155304,198.423238017622,2.72,-3.0,9.14,-0.0896226415094339,143.66,17.16,101.58,0.54,1802
20210221,1826,1878,1901,1886,7704160,34.56680135643114,6.5875,0.75,12.7625,-0.0346820809248554,143.66,17.16,101.58,0.54,1837
20210301,1692,1778,1679,1612,11426924,-142.6940425590269,5.96,0.94,11.97,-0.7380952380952381,154.04,10.38,101.84,0.26,1694
20210311,1671,1629,1665,1908,11131327,-15.141448160099117,9.39,3.74,15.27,-0.0173410404624277,154.04,10.38,101.84,0.26,1679
20210321,1354,1305,1065,1114,15731269,-361.1208143854976,10.581818181818182,4.545454545454546,16.963636363636365,0.0,154.04,10.38,101.84,0.26,1318
20210401,1212,1056,831,976,19418639,-171.99569821250907,12.14,6.29,18.16,-0.4222222222222222,129.01,-25.03,101.98,0.14,1146
20210411,844,708,549,672,20892932,-350.5025347277374,11.68,5.32,18.1,-0.9507246376811594,129.01,-25.03,101.98,0.14,795
20210421,652,583,475,569,20375297,-168.08243868506383,15.65,10.22,21.57,0.0,129.01,-25.03,101.98,0.14,627
20210501,614,583,485,550,19184624,-26.486865643580927,14.13,8.22,19.84,0.0,91.94,-37.07,102.05,0.07,601
20210511,525,518,419,525,20475623,-80.63098808145514,18.130000000000003,13.6,23.21,0.0,91.94,-37.07,102.05,0.07,520
20210521,510,558,495,575,21655387,-3.037659902307724,17.509090909090908,12.4,23.30909090909091,0.0,91.94,-37.07,102.05,0.07,517
20210601,530,492,489,547,19314505,7.345105059651246,21.2,15.97,26.77,1.4177777777777778,82.15,-9.79,102.05,0.0,524
20210611,604,538,485,660,13213124,71.23101470458016,21.81,18.26,26.23,1.15625,82.15,-9.79,102.05,0.0,596
20210621,580,475,467,604,18803672,-28.1203858429426,22.16,18.32,27.21,0.8767441860465116,82.15,-9.79,102.05,0.0,568
20210701,605,492,442,532,14233829,18.907076191548413,23.8,20.87,27.68,1.2705761316872428,82.41,0.26,102.26,0.21,587
20210711,615,502,491,529,10850405,7.690190709953981,26.44,22.7,31.44,2.263335204941044,82.41,0.26,102.26,0.21,594
