T-8,T-7,T-6,T-5,T-4,T-3,T-2,T-1,T,T+1,T+2,T+3,품목
1412,1425,1502,1339,1372,1400,1316,1375,1385,1356,1418,1443,감자
537,547,566,544,549,574,552,550,582,555,543,576,무
4307,4776,5030,4300,4781,5009,4177,4445,4501,3690,3858,3640,배
3564,3062,3409,3494,3075,3352,3458,3098,3338,3414,3096,3314,사과
852,845,879,853,861,895,873,852,903,892,819,890,배추
12247,13940,16350,12298,13966,16430,12286,14081,16421,12229,14180,16341,건고추
5110,4905,5323,5146,4902,5324,5275,4912,5379,5339,4938,5425,마늘
1772,1605,1746,1789,1627,1729,1805,1652,1728,1822,1675,1740,대파
4491,4350,4352,4838,4608,4658,5094,4751,4876,5235,4865,5001,상추
930,971,940,915,953,950,914,948,957,921,951,958,양파
